№,year,first,title,cast,location,lat,lng
1,平成17年度,な,「涙そうそう　広島8月6日」　ＴＢＳテレビ,松たか子・加藤あい・長澤まさみ,大井川鐵道　新金谷駅,34.824029,138.139015
2,平成17年度,て,「電車男」　フジテレビ,伊藤美咲・伊藤淳史・須藤理彩,大井川鐵道　新金谷駅,34.824029,138.139015
3,平成17年度,ほ,「火垂るの墓」　日本テレビ,"松島菜々子・伊原剛志・
井上真央",大井川鐵道　新金谷駅,34.824029,138.139015
4,平成17年度,は,映画「パビリオン」,オダギリジョー・香椎由宇・高田順次,大井川鐵道　車内,34.82546,138.137188
5,平成17年度,あ,「愛と死を見つめて」　テレビ朝日,草薙剛・広末涼子・小雪・大杉蓮,大井川鐵道　新金谷駅等,34.825765,138.137577
6,平成17年度,に,「西村京太郎サスペンス土曜ワイド劇場『鉄道捜査官⑦』」　テレビ朝日,沢口靖子,大井川鐵道　家山駅,34.940029,138.077744
7,平成18年度,お,映画「俺は、君のためにこそ死ににいく」,徳重聡・窪塚洋介・筒井道隆・岸恵子,蓬莱橋,34.825524,138.184443
8,平成18年度,し,ドラマ「純情きらり」　NHK,宮崎あおい・寺島しのぶ・井川遥・室井滋・福士誠治,大井川鐵道　千頭駅　,35.107678,138.136566
9,平成18年度,し,ドラマ「純情きらり」　NHK,宮崎あおい・寺島しのぶ・井川遥・室井滋・福士誠治,新金谷駅,34.825765,138.137577
10,平成18年度,し,ドラマ「純情きらり」　NHK,宮崎あおい・寺島しのぶ・井川遥・室井滋・福士誠治,みのる座,34.83193,138.179677
11,平成18年度,あ,TV「アンビリバボー」　フジテレビ,－,大井川鐵道　新金谷駅,34.824029,138.139015
12,平成18年度,あ,TV「アンビリバボー」　フジテレビ,－,家山駅,34.940029,138.077744
13,平成18年度,あ,TV「アンビリバボー」　フジテレビ,－,千頭駅,35.107678,138.136566
14,平成18年度,あ,TV「アンビリバボー」　フジテレビ,－,駿河徳山,35.074681,138.11057
15,平成18年度,あ,TV「アンビリバボー」　フジテレビ,－,青部セミナーセンター,35.089485,138.115652
16,平成18年度,く,TV「くるくるドカン」　フジテレビ,－,大井川鐵道　新金谷駅,34.824029,138.139015
17,平成18年度,き,映画「黄色い涙」,嵐（二宮和也・相葉雅紀・大野智・櫻井翔・松本潤）・香椎由宇,栃山川堤防　,34.836364,138.175997
18,平成18年度,き,映画「黄色い涙」,嵐（二宮和也・相葉雅紀・大野智・櫻井翔・松本潤）・香椎由宇,スーパービック元島田,34.840649,138.181554
19,平成18年度,に,ドラマ「24時間テレビ～婚約者からの遺言～」　日本テレビ,安倍なつみ,大井川鐵道　家山駅,34.940029,138.077744
20,平成18年度,と,ドラマ「ドラマコンプレックス　澤田美喜物語～母たることは地獄のごとく～」　日本テレビ,松坂慶子・江守徹,大井川鐵道　新金谷駅,34.824029,138.139015
21,平成18年度,し,CM「東芝テック　TVコマーシャル」,－,大井川河川敷（島田市福用）,34.901922,138.09005
22,平成18年度,さ,ドラマ「佐賀のがばいばあちゃん」　フジテレビ,泉ピン子・石田ゆり子・原沙知絵,大井川鐵道　新金谷駅,34.824029,138.139015
23,平成18年度,い,TV「いただきマッスル！」　中京テレビ,－,大井川鐵道　新金谷駅,34.824029,138.139015
24,平成18年度,い,TV「いただきマッスル！」　中京テレビ,－,旧東海道石畳,34.815541,138.123737
25,平成18年度,は,ドラマ「遥かなる約束」　フジテレビ,阿部寛・黒木瞳,島田市地域交流センター「歩歩路」,34.832522,138.175752
26,平成18年度,に,映画「日本の青空」,高橋和也・藤谷美紀,大井川鐵道　千頭駅,35.107678,138.136566
27,平成18年度,や,映画「やじきた道中てれすこ」,中村勘三郎・柄本明・小泉今日子,大井川川越遺跡,34.831342,138.154388
28,平成18年度,ち,映画「魍魎の匣」,堤真一・阿部寛・椎名桔平・宮迫博之・田中麗奈・黒木瞳,島田市大津通周辺,34.835613,138.17852
29,平成18年度,ち,映画「魍魎の匣」,堤真一・阿部寛・椎名桔平・宮迫博之・田中麗奈・黒木瞳,島田市横井公会堂,34.827844,138.173655
30,平成18年度,ふ,ドラマ「復讐するは我にあり」　テレビ東京,柳葉敏郎・大地康雄・岸本加世子,大井川河川敷,34.836364,138.175997
31,平成18年度,ふ,ドラマ「復讐するは我にあり」　テレビ東京,柳葉敏郎・大地康雄・岸本加世子,大井神社周辺,34.833661,138.171678
32,平成18年度,ふ,ドラマ「復讐するは我にあり」　テレビ東京,柳葉敏郎・大地康雄・岸本加世子,萬露亭,34.831153,138.179224
33,平成18年度,ふ,ドラマ「復讐するは我にあり」　テレビ東京,柳葉敏郎・大地康雄・岸本加世子,西の家（島田市）,34.844067,138.120444
